0.164016,0.15191,0.155799,0.173791,0.172259,0.173081,0.158999,0.268106
0.138727,0.151196,0.151981,0.212136,0.178918,0.16275,0.145188,0.200087
0.136889,0.155178,0.144847,0.144014,0.161729,0.175397,0.143772,0.179035
0.094967,0.156002,0.130975,0.161001,0.185021,0.167091,0.144679,0.185121
0.116921,0.142069,0.131912,0.265877,0.150045,0.216963,0.112967,0.167001
0.132003,0.149933,0.17809,0.151941,0.145131,0.146821,0.185966,0.146222
0.158046,0.151869,0.213023,0.162063,0.163895,0.152033,0.176019,0.136877
0.087863,0.141037,0.133957,0.156001,0.154649,0.167346,0.135944,0.161012
0.105995,0.132963,0.117838,0.139139,0.145012,0.144004,0.129849,0.164083
0.081347,0.149609,0.11592,0.147045,0.118921,0.160008,0.145075,0.14995
0.206727,0.086565,0.148228,0.483758,0.117084,0.131983,0.181982,0.175119
0.088298,0.154953,0.128002,0.487065,0.127786,0.19409,0.214981,0.3695
0.083569,0.096289,0.123956,0.208851,0.156064,0.128031,0.202001,0.182946
0.122916,0.07205,0.139973,0.80903,0.079882,0.169918,0.209078,0.179991
0.129275,0.071957,0.136012,0.30202,0.103872,0.084063,0.228847,0.174098
0.153036,0.063961,0.151969,0.30815,0.120759,0.120006,0.216136,0.176823
0.161003,0.131935,0.122975,1.07584,0.088069,0.096081,0.235833,0.172981
0.141981,0.056168,0.191929,0.311216,0.149587,0.153071,0.213041,0.188914
0.130995,0.059927,0.156049,0.230136,0.375871,0.159966,0.217946,0.172999
0.151657,0.039866,0.148268,0.27018,0.055595,0.904066,0.087763,0.482096
0.137748,0.032044,0.223044,0.210827,0.117144,0.127806,0.275244,0.328523
0.130848,0.047895,0.168222,0.174803,0.103909,0.079987,0.181776,0.19223
0.119827,0.072022,0.143926,0.443053,0.534902,0.087947,0.120073,0.200963
0.197758,0.123891,0.146596,0.252262,0.083998,0.096148,0.207568,0.194783
0.197725,0.056053,0.231188,0.374149,0.113796,0.115936,0.257083,0.218932
0.127777,0.060013,0.152465,0.288612,0.491178,0.261568,0.05215,0.099741
0.103773,0.063987,0.14804,0.150969,0.129975,0.048004,0.22093,0.203192
0.14214,0.075814,0.128028,0.46998,0.419128,0.119933,0.212714,0.40592
